book_id,studio,total_score,reasoning,book_summary,genre_fit_score,genre_fit_reasoning,visual_story_adaptability_score,visual_story_adaptability_reasoning,audience_fit_score,audience_fit_reasoning,franchise_potential_score,franchise_potential_reasoning,budget_scale_fit_score,budget_scale_fit_reasoning,name_recognition_score,name_recognition_reasoning
a-voyage-to-arcturus__lindsay-david__1920,A24,22.25,"A Voyage to Arcturus is a philosophical sci-fi meditation fundamentally misaligned with the dark noir thriller mandate, lacking grounded character focus and small-town budget viability.","A Voyage to Arcturus is a 1920 philosophical science fiction novel by David Lindsay about a man's metaphysical journey to a distant star system, featuring surreal landscapes and encounters exploring themes of consciousness and spirituality rather than a conventional narrative arc.",5,Science fiction philosophic journey is fundamentally incompatible with noir thriller conventions.,45,Surreal alien landscapes offer visual potential but the abstract metaphysical tone clashes sharply with dark noir mood.,25,The protagonist's introspective cosmic journey won't resonate with A24's core cinephile audience expecting a relatable insider character navigating a grounded thriller.,15,"The book's episodic structure offers some sequel potential, but lacks the tight mystery/conspiracy angle needed for thriller franchises.",35,"An alien world and cosmic voyage demands expensive sci-fi production design, incompatible with small-town thriller economics.",30,Known to literary SF enthusiasts and cult readers but obscure to general audiences outside that niche.
studies-in-the-psychology-of-sex-vol-iii__ellis-havelock__1913,A24,1.95,"This is a 1913 academic psychology text with no narrative fiction elements, making it fundamentally unsuitable for adaptation as a noir thriller regardless of mandate fit.","Not confidently recognized as a work of fiction. This is Havelock Ellis's academic treatise on human sexuality published in 1913, a non-narrative scholarly work examining psychological and sociological aspects of sex—not a noir thriller or narrative fiction.",0,"This is non-fiction academic psychology/sexology, not a noir thriller narrative.",2,"A scholarly psychology text has no inherent plot, characters, or visual drama to adapt cinematically.",1,A 1913 academic text on sexuality has no narrative characters or insider protagonist to resonate with A24's target demographic.,0,Non-fiction reference material cannot support sequel development or world-building.,5,"While a small-town setting is mentioned in the mandate, this book has no setting or budget-relevant narrative to assess.",15,"Havelock Ellis is historically significant in sexology circles, but this specific volume is largely unknown to general audiences."
caesars-commentarii-de-bello-gallico__quincey-thomas-de__unk,A24,13.75,This classical military history document is entirely misaligned with A24's noir-thriller mandate and would require wholesale fictional invention rather than adaptation.,"Caesar's Commentarii de bello Gallico is Julius Caesar's ancient military historical account of the Gallic Wars, written in the 1st century BC as primary-source documentation rather than narrative fiction. Note: The author attribution to Thomas De Quincey appears to be a data error—Quincey was a 19th-century essayist and opium writer who lived 1785-1859, not the author of Caesar's classical texts.",5,Ancient military history documentation is fundamentally incompatible with modern noir thriller conventions.,15,"While the subject matter involves dramatic military conflict, the source is a dry historical/military account lacking narrative structure, character development, or cinematic pacing.",10,The text features no protagonist insider uncovering secrets in a small town; it's an ancient military commander's tactical documentation with no relatable modern character archetype.,8,No mystery-uncovering plot exists in the source material to fuel sequels or expanded world-building beyond historical fact.,20,"Adapting requires period epic production design (Caesar's era) rather than a contained small-town setting, implying massive budget scope beyond A24's range.",75,"Caesar's Commentarii is one of the most famous classical texts in Western literature, though recognition is academic/historical rather than popular entertainment."
put-k-zvezdam__tsiolkovsky-konstantin__unk,A24,15.5,"This book does not confidently match the dark noir thriller mandate; Tsiolkovsky's known work centers on space exploration, not insider mysteries in small towns.","Not confidently recognized. ""Putʹ k zvezdam"" (transliterated as ""Path to the Stars"") appears to be a work by or attributed to Konstantin Tsiolkovsky, the Russian rocket scientist and space travel pioneer, but I cannot confidently identify the specific plot, genre, or themes of this title without risking invention.",5,"Without knowing the actual content, cannot assess genre fit; Tsiolkovsky's known works are science-fiction or non-fiction about space exploration, not noir thrillers.",15,"Space exploration themes could be visually striking, but likely lacks the dark noir tone required by the mandate.",10,Tsiolkovsky's works are technical or speculative rather than character-driven narratives centered on insider protagonists uncovering secrets.,20,"Early Soviet space-fiction could theoretically support sequels, but the mandate's 'uncovering' action suggests mystery/noir mechanics, not cosmic exploration.",25,"If space-themed, likely requires visual effects budget; small-town noir settings are cheaper, but this book's actual setting is unknown.",35,"Tsiolkovsky is historically famous in aerospace circles, but this specific title is obscure to general audiences and cinema culture."
the-adventures-of-tom-sawyer__george-henry__1817,A24,35.75,"Tom Sawyer is a beloved classic with strong name recognition and visual potential, but is fundamentally a whimsical coming-of-age tale, not a dark noir thriller with an insider protagonist uncovering secrets—making it a poor fit for this specific mandate.","The Adventures of Tom Sawyer by Mark Twain (not Henry George) is a classic 1876 American novel about a mischievous young boy navigating life in a small Missouri river town, filled with boyish pranks, adventure, and coming-of-age themes rather than noir thriller elements. This is a known author attribution error in the corpus.",5,"Tom Sawyer is a classic literary adventure/coming-of-age novel, fundamentally misaligned with noir thriller conventions.",70,"The novel has strong visual imagery of river settings and period Americana, but the tone is warm and adventurous rather than dark and noir.",35,"A24's core 18-34 cinephile audience skews toward introspective, darkly sophisticated material; Tom Sawyer's optimistic boyish protagonist and family-friendly tone don't align with the 'insider uncovering corruption' archetype.",20,Tom Sawyer has minimal mystery-unraveling or investigative narrative arc; the 'uncovers' action doesn't map onto this episodic adventure tale.,60,"A small-town period setting is inherently contained, fitting A24's budget range, though the scope and nature of the story don't suggest the thriller-driven constraints the mandate implies.",95,"Tom Sawyer is one of the most famous and beloved American classics, widely recognized across all demographics."
huntingtower__buchan-john__1910,A24,53.25,"Huntingtower is a period adventure-thriller with some thriller DNA, but its upper-class protagonist, self-contained mystery, and adventure tone don't align well with A24's dark noir mandate or core audience expectations.","Huntingtower by John Buchan (1910) is an adventure thriller about a man who encounters mysterious happenings at a Scottish estate and uncovers a political conspiracy involving Russian exiles. It features espionage, intrigue, and a mystery to be solved in a remote setting—more adventure-thriller than noir, but with thriller and mystery elements present.",55,"Adventure-thriller with espionage rather than hardboiled noir, though it does have mystery/thriller elements that partially align with the mandate.",72,"Rural Scottish estate setting and intrigue sequences are visually cinematic, though the tone leans adventure-period rather than dark noir.",48,Protagonists are upper-class British adventurers rather than morally complex insiders; the appeal skews older/nostalgic rather than A24's core 18-34 cinephile demographic.,35,Self-contained mystery resolution limits sequel potential; the 'uncovering' concludes neatly with little room for expanding a world.,70,Rural Scottish locations and period production design fit a $15-20M contained production budget well.,45,"John Buchan is known to literary/classics audiences, but Huntingtower is not a household name like The Thirty-Nine Steps, his most famous work."
inquiries-into-human-faculty-and-its-development__galton-francis__1883,A24,3.8,"A public-domain scientific treatise on heredity is fundamentally misaligned with a dark noir thriller mandate and lacks the narrative structure, genre elements, and character dynamics needed for A24 adaptation.""}","This is a non-fiction scientific work by Francis Galton on heredity and human development, published in 1883 — not a narrative fiction work, and definitively not a noir thriller.",0,A scientific treatise on heredity has no thriller or noir elements whatsoever.,5,"Non-fiction essay collection lacks narrative structure, dramatic tension, or cinematic visual potential.",2,A 19th-century heredity study has no insider protagonist or character arc for A24's demographic.,0,Non-fiction scientific work offers no plot or world to build sequels from.,10,"Could theoretically be adapted as a small indie biopic, but the source material provides no small-town setting.",25,Galton is historically significant in science but this specific work is obscure to general audiences.
emanuel-or-children-of-the-soil__pontoppidan-henrik__unk,A24,25.5,"This unconfirmed title appears poorly matched to the noir-thriller mandate; early Nordic literary fiction typically lacks the genre, visual style, and audience appeal A24's requirement demands.","Not confidently recognized. ""Emanuel or Children of the Soil"" by Henrik Pontoppidan is not a work I can reliably identify with specific plot details; while Pontoppidan was a notable Danish author (1857-1943), I cannot confidently state this title's genre, plot, or themes without risking inaccuracy.",25,"Without confirmed plot details, genre assessment is speculative; Pontoppidan wrote literary/realist fiction, which may or may not align with noir thriller conventions.",30,"Early 20th-century Danish literary fiction often lacks the visual, kinetic pacing and dark atmosphere that defines modern noir cinema.",20,A 1910s-era Nordic literary work about soil/rural life is unlikely to resonate with A24's core 18-34 cinephile urban audience without significant recontextualization.,15,A standalone literary novel about soil/rural themes offers minimal franchise potential or sequel/world-building infrastructure.,50,"A small-town/rural Danish setting could map to A24's contained-budget range, but no details confirm practical production constraints.",10,Henrik Pontoppidan is obscure to general audiences outside Scandinavian literary circles; this specific title is not a household name.
the-eminent-american-comedienne-marie-dressler__dressler-marie__1924,A24,19.5,"This book is fundamentally mismatched to the noir thriller mandate; it's a historical autobiography with no thriller elements, investigative plot, or small-town setting.","Not confidently recognized. This appears to be an autobiography or biographical work by/about Marie Dressler (1868-1934), the silent film and early talking picture comedian and actress, published in 1924. Without access to the actual content, I cannot confirm whether this is memoir, biography, or something else entirely, making it difficult to assess against a noir thriller mandate.",5,An autobiography/biography of a comedienne has almost no overlap with noir thriller conventions.,15,"While Dressler's life could have dramatic moments, a 1924 memoir lacks the dark, atmospheric tone that defines noir aesthetic.",20,"A24's cinephile audience might appreciate Dressler as a film history figure, but the 'insider uncovering' angle doesn't match a biographical subject recounting her own life.",10,A historical autobiography offers minimal sequel or expanded universe potential beyond a single biopic.,55,A period biopic set in early 20th-century entertainment could fit A24's budget range depending on scope.,45,Marie Dressler is historically significant in cinema but not widely recognized by contemporary general audiences under 50.
the-story-of-san-michele__munthe-axel__1929,A24,20.75,"The Story of San Michele is fundamentally misaligned with A24's noir thriller mandate—a philosophical Mediterranean memoir offers no crime, dark tension, or investigative protagonist structure that the studio seeks.","The Story of San Michele is a 1929 autobiographical novel by Swedish physician Axel Munthe set on the island of Capri, depicting his life, medical practice, and spiritual reflections rather than a noir thriller plot; it's a lyrical, philosophical memoir about healing, beauty, and human compassion.",5,"A contemplative memoir has virtually no overlap with noir thriller conventions of crime, moral ambiguity, and suspenseful plotting.",35,"Mediterranean island setting and period detail could be visually rich, but the meditative, philosophical tone is fundamentally incompatible with dark noir mood.",15,An introspective doctor-narrator's humanitarian perspective doesn't align with A24's cinephile core's taste for edgy insider protagonists in contemporary thrillers.,10,A static autobiographical narrative with no mystery to uncover offers minimal sequel or world-building expansion potential.,55,"Capri location and period costumes suggest mid-range European production costs, but the intimate, character-driven story naturally fits a contained budget.",25,"Moderately recognized classic among literary audiences and those familiar with early 20th-century memoir, but not mainstream household-name status."
the-man-who-knew-too-much__chesterton-gilbert-keith__1922,A24,60.25,"A literary mystery collection with moderate noir potential but stronger philosophical than thriller elements; the small-town mandate sits uneasily with Chesterton's London-focused, cerebral storytelling.","G.K. Chesterton's 1922 collection of interconnected short stories featuring a mysterious protagonist who observes and uncovers conspiracies and criminal secrets in London and various locations, blending mystery, detective fiction, and philosophical inquiry into human nature and society.",65,The stories contain mystery and intrigue elements but lean philosophical/cerebral rather than hardboiled noir thriller conventions.,55,Chesterton's strength is intellectual and conversational rather than visual; the mysteries lack cinematic action or atmospheric darkness typical of noir.,60,"An observant protagonist uncovering secrets fits A24's sensibility, but the stories' philosophical, early-20th-century British tone may feel distant to 18-34 cinephiles.",50,"The interconnected episodic structure allows sequel potential, but the dated mysteries and static protagonist offer limited world-building momentum.",70,"London and small locations are naturally contained and low-scale, fitting A24's budget range without requiring massive set pieces.",75,"Chesterton is a canonical literary figure and this is his most famous work, but modern general audiences may not recognize the specific title."
the-pirate-andrew-lang-edition__scott-walter__unk,A24,29.75,"A 19th-century historical adventure novel that fundamentally misaligns with the dark noir thriller mandate, lacking the modern insider protagonist and contemporary corruption themes A24 would need.","The Pirate by Walter Scott is a historical adventure novel set in the Shetland Islands featuring shipwrecks, smuggling, and maritime intrigue—a Gothic-romantic tale rather than a modern noir thriller.",15,Scott's historical adventure/Gothic romance bears little resemblance to noir thriller conventions.,55,"Atmospheric Scottish islands setting and dramatic maritime elements offer visual potential, but the tone is Romantic rather than dark noir.",25,"The protagonist is a nobleman/sailor rather than a modern insider character, and the themes focus on honor/adventure rather than cynical corruption that resonates with A24's audience.",20,A standalone historical adventure with limited world-building or sequel potential centered on uncovering conspiracies.,40,Shetland Islands setting could work at contained budget but requires period production design that pushes toward higher costs.,60,"Walter Scott is a canonical literary figure, though The Pirate is far less well-known than his most famous works like Ivanhoe or Waverley."
the-letters-of-robert-schumann__schumann-robert__unk,A24,12.0,"This historical letter collection is fundamentally misaligned with the mandate for a dark noir thriller; it is non-fiction, character-sparse, and lacks cinematic narrative structure.","This is a collection of personal correspondence from Robert Schumann, the 19th-century Romantic composer, not a work of fiction—it consists of letters rather than a narrative story with plot or characters.",5,A historical letter collection is fundamentally non-fiction and lacks any thriller or noir elements.,15,"Letters are inherently static and dialogue-heavy; while biographical dramas exist, this material lacks inherent visual narrative momentum or dark atmospheric tone.",10,"A 19th-century composer's private correspondence appeals primarily to classical music scholars, not A24's 18-34 cinephile demographic seeking character-driven thrillers.",5,A static historical document offers no world-building scope or sequential mysteries to uncover across multiple stories.,25,"While a biopic could theoretically be low-budget, the material itself is documentary/epistolary rather than inherently suggesting contained scope.",40,"Robert Schumann is well-known among classical music audiences, but 'The Letters of Robert Schumann' is not a recognized cultural touchstone for general audiences."
in-a-german-pension__mansfield-katherine__1911,A24,24.25,In a German Pension is a literary psychological study fundamentally misaligned with noir thriller conventions and the mandate's investigative action premise.,"A 1911 short story collection by Katherine Mansfield set in a German boarding house, featuring vignettes of guests and their interpersonal dynamics; structured as character studies in psychological realism rather than a plot-driven narrative.",15,"A quiet, observational short-story collection about social dynamics is fundamentally at odds with noir thriller conventions.",25,Mansfield's interior psychological focus and episodic vignettes lack the visual propulsion and cinematic tension dark noir requires.,20,The book's subtle character study of early-1900s boarding-house residents doesn't engage A24's 18-34 cinephile audience with a compelling insider archetype.,10,A collection of disconnected social vignettes offers minimal scope for sequel development or world-building around uncovering/investigation narratives.,60,"A contained setting (single boarding house) is budget-appropriate, though the episodic nature makes it hard to shape into a traditional feature narrative.",45,"Mansfield is respected in literary circles and taught in universities, but this specific collection is not widely known to general audiences."
the-girl-on-the-boat__wodehouse-p-g-pelham-grenville__1922,A24,16.5,"This charming Wodehouse comedy is fundamentally misaligned with the dark noir thriller mandate, lacking the genre, tone, and character archetypes A24 seeks.","A light romantic comedy by P.G. Wodehouse featuring a young woman on a cruise ship who becomes entangled in romantic misadventures and social complications with various passengers; a classic early-20th-century farce with witty banter and humorous situations, not a noir thriller.",5,"The book is a comedic farce, fundamentally misaligned with noir thriller conventions.",15,"While visually adaptable, the light romantic tone clashes sharply with the dark noir mood mandate requires.",20,"A24's core demographic favors dark, intellectual cinema; Wodehouse's period comedy lacks the insider/whistleblower gravitas this audience expects.",10,The plot resolves its romantic entanglements conclusively with no sequel infrastructure or larger world to uncover.,35,"Ship settings can be contained, but the lightweight plot and comedic tone don't justify A24's typical production investment.",45,"Wodehouse is a well-regarded literary name, though this specific 1922 title is less iconic than his Jeeves stories."
story-of-the-red-cross__barton-clara__unk,A24,20.25,"This historical non-fiction work about the Red Cross organization is fundamentally misaligned with a dark noir thriller mandate and lacks the narrative tension, character complexity, and visual dynamism A24 seeks.","Not confidently recognized. ""Story of the Red Cross"" by Clara Barton is likely a historical/biographical work about the founding and mission of the Red Cross organization (which Barton founded), not a noir thriller or crime narrative.",5,Historical non-fiction about humanitarian organization has virtually no alignment with noir thriller genre.,25,"While Red Cross history could have dramatic moments, the work lacks the dark, morally ambiguous tone essential to noir adaptations.",15,"A24's 18-34 cinephile audience expects complex insider characters navigating moral gray zones, not historical institutional narratives.",10,A historical account of organizational founding offers minimal sequel or world-building potential around uncovering conspiracies or secrets.,60,"Small-town setting is appropriate for contained budget, though the actual work is institutional/international rather than geographically small-scale.",30,"Clara Barton is historically famous, but this specific work is obscure compared to canonical classics or popular non-fiction."
taras-bulba__gogol-nikolai__unk,A24,34.5,"Taras Bulba is fundamentally misaligned with the noir-thriller, small-town-insider mandate—a celebrated historical epic with different genre, tone, and thematic DNA.","Taras Bulba by Nikolai Gogol is a historical epic novel set in 17th-century Ukraine, following a Cossack warrior and his sons as they engage in military campaigns, family betrayal, and violent conflict against Polish invaders—not a noir thriller or small-town mystery.",15,Historical epic/adventure bears almost no resemblance to noir thriller conventions.,70,"Rich historical landscapes and large-scale military action adapt visually, though the tone is heroic and tragic rather than dark noir.",25,"Taras Bulba centers on aging Cossack patriarchy, not insider characters navigating systems; little thematic alignment with A24's typical 18-34 cinephile demographic.",20,"Epic historical saga has some world-building scope, but the linear narrative arc offers limited sequel/investigation structure.",55,Large-scale military campaigns and historical setting could be contained but naturally lean toward prestige/event film budgets beyond A24's typical range.,65,"Gogol is a canonical Russian author and this is his most famous work, recognized in literary circles and taught in universities."
qu-est-ce-que-la-propriete__proudhon-pierre-joseph__1840,A24,5.7,"A foundational anarchist essay is fundamentally incompatible with the dark noir thriller mandate, lacking any narrative, characters, or adaptable dramatic structure.","A foundational 1840 anarchist political philosophy text by Proudhon asking ""What is property?"" and arguing property is theft; a dense theoretical work, not a narrative fiction novel.",5,"This is political philosophy, not a noir thriller narrative.",2,"A theoretical essay with no plot, characters, or scenes to visually adapt.",3,"While A24's audience appreciates political themes, this lacks character-driven narrative or insider protagonist.",1,A philosophical treatise has no plot to uncover or world to build sequels from.,8,"Would require minimal budget if adapted as dialogue/lecture, but that's not A24's wheelhouse.",45,"Proudhon is a known historical figure in political theory, but this title is obscure to general audiences."
falkner__shelley-mary__1837,A24,58.4,"A Gothic literary thriller with period atmosphere and contained small-town setting that fits budget and visual tone, but lacks noir genre credentials and franchise potential, with obscure source material limiting audience draw.","Falkner (1837) by Mary Shelley is a Gothic novel about a man accused of murder who is defended by a young woman; it explores themes of justice, innocence, and dark family secrets in a rural setting, blending psychological suspense with Shelley's characteristic Gothic atmosphere.",65,"Gothic literary thriller with dark mystery elements, but lacks the hard-boiled detective and urban crime procedural hallmarks of noir proper.",72,"Shelley's atmospheric Gothic prose translates well visually with moody rural settings, courtroom drama, and psychological tension, though period setting requires higher production design investment.",58,"The protagonist is a wrongly accused outsider whose secrets unfold, appealing to A24's taste for moral ambiguity, but the female lead's agency and perspective may resonate better than the male-centered revenge plot.",40,The investigation/uncovering is resolved within a single narrative arc with limited world-building or sequel potential beyond the contained mystery.,75,"Small-town rural English setting with courtroom scenes and intimate character drama fits A24's contained, character-driven budget sweet spot without requiring sprawling epic scope.",28,"Mary Shelley is famous for Frankenstein, but Falkner is a minor work in her oeuvre with negligible contemporary recognition outside Shelley scholarship."
